COUNTRY,INDICATOR,COUNTERPART_COUNTRY,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,TRADE_FLOW,VALUATION,UNIT,DERIVATION_TYPE,OVERLAP,STATUS,DOI,FULL_DESCRIPTION,AUTHOR,PUBLISHER,DEPARTMENT,CONTACT_POINT,TOPIC,TOPIC_DATASET,KEYWORDS,KEYWORDS_DATASET,LANGUAGE,PUBLICATION_DATE,UPDATE_DATE,METHODOLOGY,METHODOLOGY_NOTES,ACCESS_SHARING_LEVEL,ACCESS_SHARING_NOTES,SECURITY_CLASSIFICATION,SOURCE,SHORT_SOURCE_CITATION,FULL_SOURCE_CITATION,LICENSE,SUGGESTED_CITATION,KEY_INDICATOR,SERIES_NAME
Mauritius,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2022,1646526963.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
Mauritius,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2023,1629276976.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
Mauritius,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2024,1591357172.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Egypt, Arab Republic of","Exports of goods, Free on board (FOB), US dollar",World,Annual,2022,48398807224.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Egypt, Arab Republic of","Exports of goods, Free on board (FOB), US dollar",World,Annual,2023,39858578539.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Egypt, Arab Republic of","Exports of goods, Free on board (FOB), US dollar",World,Annual,2024,47093849396.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Ethiopia, The Federal Democratic Republic of","Exports of goods, Free on board (FOB), US dollar",World,Annual,2022,3085488239.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Ethiopia, The Federal Democratic Republic of","Exports of goods, Free on board (FOB), US dollar",World,Annual,2023,2859563978.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Ethiopia, The Federal Democratic Republic of","Exports of goods, Free on board (FOB), US dollar",World,Annual,2024,3530852284.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Lesotho, Kingdom of","Exports of goods, Free on board (FOB), US dollar",World,Annual,2022,1052899125.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
